Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
165,7,7,9,7,5,6,8,9,7,9,9,5,7,6,8
166,14,14,15,15,14,15,14,15,15,15,12,12,12,12,12
167,5,5,6,5,4,3,5,3,3,5,4,3,3,4,5
168,13,12,12,13,11,11,13,13,11,13,14,14,14,14,14
169,12,11,13,12,12,14,11,12,14,12,13,13,13,13,13
170,4,4,5,3,3,2,2,2,2,4,3,2,2,3,2
171,11,15,4,11,15,13,10,11,13,11,11,11,11,11,11
172,9,9,11,9,10,10,9,10,9,10,10,10,10,10,10
173,6,6,8,6,6,7,7,8,6,8,5,4,6,5,6
174,10,10,10,10,9,9,15,7,10,6,8,9,8,8,7
175,2,2,3,2,2,4,4,4,5,3,7,8,5,7,4
176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,3,3,2,4,8,8,3,5,8,2,2,7,4,2,3
178,8,8,7,8,7,5,6,6,4,7,6,6,9,9,9
179,15,13,14,14,13,12,12,14,12,14,15,15,15,15,15
