Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
195,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
196,11,11,10,10,11,10,10,11,10,10,12,11,11,11,11
197,5,5,5,5,5,5,4,5,1,5,4,5,4,4,2
198,4,4,4,4,4,4,5,4,2,4,5,4,9,5,5
199,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
200,13,13,13,13,13,13,12,13,13,13,11,13,13,13,13
201,12,12,12,12,12,12,9,12,12,12,13,12,12,12,12
202,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4
203,10,10,11,11,10,11,11,10,11,11,10,10,10,10,10
204,6,9,6,6,6,7,7,7,8,6,7,6,6,7,6
205,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3
206,9,6,9,9,9,9,13,9,9,9,9,9,8,9,9
207,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
208,8,7,8,8,8,8,8,8,6,8,8,8,7,8,8
209,7,8,7,7,7,6,6,6,7,7,6,7,5,6,7
