Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
0,5,2,3,6,3,8,4,6,4,9,3,5,6,9,6
1,1,5,7,9,5,2,2,1,3,2,4,2,8,8,13
2,8,11,10,11,14,12,12,12,11,8,10,12,12,15,10
3,2,3,1,7,2,4,3,3,2,3,6,1,3,5,1
4,13,14,14,15,11,14,13,13,15,14,15,15,15,14,15
5,12,13,15,12,12,13,15,15,13,13,13,13,13,12,12
6,6,9,4,2,4,10,5,8,6,12,8,7,5,7,5
7,11,10,5,8,13,9,9,10,8,11,9,10,11,10,9
8,4,4,8,5,7,5,11,5,12,6,2,6,7,4,4
9,9,12,12,1,1,3,7,11,7,4,12,11,1,3,11
10,3,1,2,4,6,1,1,2,1,1,1,3,2,1,2
11,15,15,13,14,15,15,14,14,14,15,14,14,14,13,14
12,7,7,6,3,9,7,6,4,5,7,5,4,4,2,3
13,10,6,9,13,8,6,10,7,9,5,7,8,10,11,7
14,14,8,11,10,10,11,8,9,10,10,11,9,9,6,8
