Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
180,6,10,6,6,9,6,2,6,6,3,6,6,6,6,5
181,3,7,3,3,3,3,4,4,4,6,3,3,4,3,4
182,14,15,14,8,14,14,14,14,14,14,14,14,14,14,14
183,5,3,5,5,5,5,6,5,5,4,5,5,5,4,6
184,12,4,12,11,12,12,12,12,12,12,13,12,12,12,12
185,8,11,10,15,7,8,8,8,8,8,8,8,8,8,8
186,7,9,7,7,6,7,7,7,7,7,7,7,7,7,7
187,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2
188,4,12,4,4,4,4,5,3,3,5,4,4,3,5,3
189,10,5,9,10,10,10,10,10,10,10,9,9,10,10,9
190,15,6,15,14,15,15,15,15,15,15,15,15,15,15,15
191,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1
192,11,2,13,12,13,11,9,9,9,9,11,13,11,11,11
193,9,14,8,9,8,9,13,11,11,13,10,10,9,9,10
194,13,8,11,13,11,13,11,13,13,11,12,11,13,13,13
