Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
150,4,4,5,6,14,16,2,4,9,7,1,3,1,10,3
151,5,11,14,11,13,8,11,15,4,9,15,7,11,11,15
152,6,14,13,14,12,9,7,10,6,10,11,5,13,7,7
153,13,6,9,7,6,7,15,13,3,12,8,15,7,3,4
154,12,9,10,10,15,6,12,8,2,15,9,12,10,13,8
155,8,10,12,13,10,10,8,9,5,8,14,10,14,8,6
156,14,7,8,8,7,11,13,7,10,13,10,9,8,12,9
157,11,15,3,2,4,14,4,3,14,3,3,2,2,15,2
158,2,1,1,1,2,1,1,6,7,1,6,14,6,2,11
159,7,13,11,12,11,13,9,12,12,4,12,6,15,6,14
160,15,5,7,9,8,4,14,14,1,14,7,13,9,4,10
161,10,3,4,3,1,2,6,2,11,6,4,4,3,9,13
162,1,2,2,4,3,15,3,1,15,2,5,8,4,1,1
163,3,8,6,5,5,3,5,5,8,5,2,1,5,14,5
164,9,12,15,15,9,5,10,11,13,11,13,11,12,5,12
