Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
120,15,15,15,15,15,1,1,15,15,15,11,15,8,15,
121,10,10,9,10,9,2,12,9,9,13,8,9,11,9,10
122,14,13,13,14,14,3,4,11,13,10,14,13,14,11,14
123,13,14,14,13,13,4,11,14,14,14,15,14,15,12,15
124,12,12,12,12,12,5,2,13,12,9,13,12,12,13,13
125,8,8,5,8,8,6,3,8,7,8,9,8,10,6,8
126,4,4,3,4,5,7,5,4,4,4,4,4,4,4,4
127,5,5,8,5,4,8,13,6,8,7,6,6,6,7,6
128,3,3,6,3,3,9,8,2,3,3,3,3,3,3,3
129,6,6,7,6,6,10,9,5,5,5,7,7,7,8,7
130,9,9,11,9,10,11,6,10,10,12,10,10,9,10,9
131,7,7,4,7,7,12,10,7,6,6,5,5,5,5,12
132,1,1,1,1,1,13,15,1,1,1,1,1,1,2,1
133,11,11,10,11,11,14,7,12,11,11,12,11,13,14,11
134,2,2,2,2,2,15,14,3,2,2,2,2,2,1,2
